Actual,Predicted
154500,157784.948993786
325000,349289.18057899724
115000,86449.66505144816
159000,174007.55743908393
315500,317396.2498395847
75500,66731.0887333717
311500,235626.5080440616
146000,146348.0501212558
84500,57726.41947874031
135500,153865.38427889883
145000,144415.26433111273
130000,105521.0900066467
81000,81147.02516977
214000,220449.98945203086
181000,173961.2467153027
134500,133377.34897111752
183500,186441.05219016143
135000,128730.80955711659
118400,130222.58908040402
226000,216606.74329418025
155000,148558.83041637973
210000,204266.36616536102
173500,170735.30582817225
129000,128172.59143867006
192000,197209.07432342565
153900,134988.49153464043
181134,191531.07871662278
141000,101405.44011730584
181000,175292.97755754855
208900,204023.66435114352
127000,170256.968072057
284000,277764.3147471043
200500,240162.7947901137
135750,109553.5351431861
255000,237289.3282330552
140000,151466.5707468948
138000,128953.54924896278
219500,200668.64574163535
310000,308546.0556637059
97000,106097.52364914399
114500,116825.01888915198
205000,218884.91313530633
119500,101862.28885677527
253293,371664.6792779224
128500,132679.6700342989
117500,142580.69828920532
115000,96897.77387285477
127000,139910.08323100733
451950,424977.06713197276
144000,137968.46082748368
119000,120931.09917713422
196000,259123.27618752455
115000,103730.02991375478
287000,286449.8367478418
144500,162581.785451208
260000,245127.68005171686
213000,199439.80228418682
175000,166570.68896559055
107000,134804.56125914876
107500,87923.55588255101
68500,63384.17226775002
154000,165665.70150629175
317000,313267.5274500259
264132,261716.51032892417
283463,297208.286635138
243000,196447.8853979587
109000,104684.12695482
305000,291157.5595661191
93500,120360.9018906895
176000,182503.78683497978
118858,119135.6029691837
134000,116708.384140298
109008,102346.61529377289
93500,21330.032160591334
611657,468905.6687129749
173000,200058.00434511167
348000,310734.37869231997
341000,362843.16997246665
141000,149191.19947542867
124900,130582.18516416987
118000,115975.33476214577
67000,104210.48009912262
113000,115248.44560754707
91300,84380.63343777752
149500,161786.37392184907
133000,149533.39230249368
266000,258818.1144450152
190000,206883.75219640124
155900,130412.19800671167
155835,192837.6731989571
153500,153546.00775669853
152000,156233.93954733654
124500,171219.65627846005
301000,283389.88462943945
136500,121684.82189624268
169990,182634.1968992973
205000,190842.6358991532
183900,153305.05668323347
204900,212976.83742843254
260000,257080.59844273108
163500,179367.6904583224
224900,209082.11714322364
244000,296378.56106533424
132000,144317.2718299136
194000,208977.40601017873
156500,176862.1139642666
156000,142311.71167139278
275000,295415.50653841987
145000,159956.29134687805
135000,159250.95179770852
60000,62840.99055226485
124000,138233.78606493026
127000,148119.25929782994
137500,142893.81288415822
213500,204232.4153691457
119000,119341.87918841047
107900,105435.43255297455
123000,103175.63850127987
112000,104002.27020949044
284000,303981.5638419468
133000,107492.61838797852
149000,134171.56817083515
169000,183130.93000624387
207000,192799.12744439172
175000,195714.50702266383
137000,128693.84519771463
236000,229668.16491040855
79500,112559.70535225887
144000,155030.1435794609
162900,179607.5976771057
185900,185315.55723567505
369900,338134.12574342766
197900,199407.14140872553
104000,112243.27018042654
35311,25727.109942445182
337500,377394.92756521737
367294,371956.17356855224
130250,136044.58209207747
230000,238636.96944590413
755000,568405.7981893074
403000,350206.8470488958
132000,124670.35302182776
178000,178880.53337160405
136500,168873.10747151612
145000,149642.28913115978
123000,107455.11927833094
250000,233520.90680530004
187100,192040.08672845934
133900,129617.37114562572
67000,47304.25468230073
137500,129461.1429728478
155000,137708.49500423903
200624,257970.50370934454
154300,168431.57794701098
91000,66849.85028255265
136000,107425.29797763482
108959,139685.02419072785
140000,146417.8061073973
86000,79362.90359892685
131400,131453.48302176443
179900,207549.46132424904
144000,108795.95984755293
293077,299334.23123644467
144500,160775.88222350948
